dataset,method,model,code_similarity_avg,clip_avg,fg_block_match_avg,fg_text_avg,fg_position_avg,fg_color_avg,fg_clip_avg,run_id
design2code,direct,gemini-3-pro-preview,19.901860657663697,0.8484709664774837,0.9072013443193183,0.9504174768941261,0.8842562089241944,0.8846091951375387,0.9027851638316112,design2code_direct_gemini-3-pro-preview_20260110_030925
design2code,direct,gpt-4-1,16.714401812126038,0.8337542933127111,0.9401271747810082,0.9846109258973911,0.8996607227843741,0.8817101031599782,0.894308690689812,design2code_direct_gpt-4-1_20260110_122031
design2code,direct,claude-3-7-sonnet-20250219,17.953667732109185,0.828748000554802,0.9365427348050328,0.9837230611702129,0.900412739409651,0.8936601329776667,0.8922579625913919,design2code_direct_claude-3-7-sonnet-20250219_20260118_012948
design2code,dcgen,gpt-4-1,20.19474879525034,0.828476724047098,0.8134099301965023,0.8792616616013672,0.8242264918735908,0.8179720684495476,0.8905736995683171,design2code_dcgen_gpt-4-1_20260110_122016
design2code,direct,claude-opus-4-5-20251101,18.205101379460974,0.827312791889364,0.9504926793757649,0.9877757894450726,0.9163073151135588,0.8354427405250865,0.8803975051345904,design2code_direct_claude-opus-4-5-20251101_20260124_031629
design2code,direct,qwen-qwen3-vl-235b-a22b,17.781834855338513,0.8201752235346895,0.9293888643911548,0.9685971170291642,0.875081810898126,0.8625817889933735,0.8857579268592882,design2code_direct_qwen-qwen3-vl-235b-a22b_20260129_021347
design2code,direct,gemini-2-5-pro,17.714323541283473,0.8172099939239867,0.8592357489501046,0.9317400981066242,0.8373459358083047,0.8257415100329735,0.8865814339327106,design2code_direct_gemini-2-5-pro_20260101_162109
design2code,direct,gemini-2-0-flash,16.599713906641067,0.799288500562187,0.9012928711041931,0.9521596081989397,0.834162214207047,0.8011254330496369,0.8700415625059901,design2code_direct_gemini-2-0-flash_20260101_161754
design2code,direct,gpt-4o,14.812459557557117,0.798325191558518,0.8903320758360521,0.9567310660826001,0.8364956034060629,0.812904040726069,0.8712228790820262,design2code_direct_gpt-4o_20260102_094907
design2code,direct,gemini-2-5-flash,17.44357746721873,0.7976128293201328,0.7845841154887161,0.8736646346333207,0.7759038297279375,0.5073735911120663,0.8494790551563104,design2code_direct_gemini-2-5-flash_20260109_140638
design2code,direct,mistral-mistral-large-3-675b-instruct,17.235789483203124,0.7885968933913333,0.8724899525470899,0.9258213536837991,0.804114410660408,0.7369328619347932,0.856637969366775,design2code_direct_mistral-mistral-large-3-675b-instruct_20260128_074216
design2code,direct,gemini-2-0-flash-lite,16.225045625975604,0.7837831959159359,0.8736020415622597,0.926127769356675,0.789576917792804,0.7550561491506507,0.8660577896231177,design2code_direct_gemini-2-0-flash-lite_20260110_074131
design2code,dcgen,gpt-4o,18.974239951939033,0.7837697000977415,0.7556627149052421,0.8355309381758326,0.7391992294487633,0.7403481557056052,0.8549382991425493,design2code_dcgen_gpt-4o_20260102_094946
design2code,direct,grok-4,12.363142442605485,0.7832187821406015,0.5970191314418933,0.8633009209482828,0.8023070531094019,0.7715001370044098,0.8692701115864898,design2code_direct_grok-4_20260123_044312
design2code,direct,us-meta-llama4-maverick-17b-instruct-v1-0,13.19734176082786,0.7796912573216376,0.7993199344734502,0.9134067089599973,0.7713074736971234,0.7179227462908272,0.8559412894662747,design2code_direct_us-meta-llama4-maverick-17b-instruct-v1-0_20260128_033016
design2code,direct,doubao-1-5-vision-pro-32k-250115,15.183803604208562,0.772115221588882,0.9100198432158103,0.9713613122378231,0.8087089502131088,0.7826567625406953,0.863526594047704,design2code_direct_doubao-1-5-vision-pro-32k-250115_20260115_042635
design2code,direct,gemini-2-5-flash-lite,15.594869899080745,0.7239640023833827,0.044803289745566244,0.04808434098249481,0.03134462490110562,0.023577933295791147,0.730530313190661,design2code_direct_gemini-2-5-flash-lite_20260110_060755
